S,R,Z,Psi
0,0,0,0
0.01,9.99983e-05,4.99994e-07,9.99999e-05
0.02,0.000199997,1.00999e-06,0.0002
0.03,0.000299995,1.52998e-06,0.0003
0.04,0.000399993,2.05997e-06,0.000399999
0.05,0.000499991,2.59996e-06,0.000499999
0.06,0.000599989,3.14995e-06,0.000599999
0.07,0.000699987,3.70994e-06,0.000699999
0.08,0.000799985,4.27993e-06,0.000799998
0.09,0.000899983,4.85992e-06,0.000899998
0.1,0.000999981,5.44991e-06,0.000999998
0.11,0.00109998,6.04989e-06,0.0011
0.12,0.00119998,6.65988e-06,0.0012
0.13,0.00129997,7.27987e-06,0.0013
0.14,0.00139997,7.90986e-06,0.0014
0.15,0.00149997,8.54985e-06,0.0015
0.16,0.00159997,9.19983e-06,0.0016
0.17,0.00169996,9.85982e-06,0.00169999
0.18,0.00179996,1.05298e-05,0.00179999
0.19,0.00189996,1.12098e-05,0.00189999
0.2,0.00199996,1.18998e-05,0.00199999
0.21,0.00209995,1.25998e-05,0.00209999
0.22,0.00219995,1.33097e-05,0.00219999
0.23,0.00229995,1.40297e-05,0.00229999
0.24,0.00239994,1.47597e-05,0.00239999
0.25,0.00249994,1.54997e-05,0.00249999
0.26,0.00259994,1.62497e-05,0.00259999
0.27,0.00269993,1.70097e-05,0.00269999
0.28,0.00279993,1.77796e-05,0.00279999
0.29,0.00289993,1.85596e-05,0.00289999
0.3,0.00299992,1.93496e-05,0.00299999
0.31,0.00309992,2.01496e-05,0.00309999
0.32,0.00319992,2.09596e-05,0.00319998
0.33,0.00329991,2.17795e-05,0.00329998
0.34,0.00339991,2.26095e-05,0.00339998
0.35,0.00349991,2.34495e-05,0.00349998
0.36,0.0035999,2.42995e-05,0.00359998
0.37,0.0036999,2.51595e-05,0.00369998
0.38,0.00379989,2.60294e-05,0.00379998
0.39,0.00389989,2.69094e-05,0.00389998
0.4,0.00399988,2.77994e-05,0.00399998
0.41,0.00409988,2.86994e-05,0.00409998
0.42,0.00419988,2.96093e-05,0.00419998
0.43,0.00429987,3.05293e-05,0.00429997
0.44,0.00439987,3.14593e-05,0.00439997
0.45,0.00449986,3.23992e-05,0.00449997
0.46,0.00459986,3.33492e-05,0.00459997
0.47,0.00469985,3.43092e-05,0.00469997
0.48,0.00479985,3.52792e-05,0.00479997
0.49,0.00489984,3.62591e-05,0.00489997
0.5,0.00499984,3.72491e-05,0.00499997
0.51,0.00509983,3.82491e-05,0.00509996
0.52,0.00519982,3.9259e-05,0.00519996
0.53,0.00529982,4.0279e-05,0.00529996
0.54,0.00539981,4.13089e-05,0.00539996
0.55,0.00549981,4.23489e-05,0.00549996
0.56,0.0055998,4.33989e-05,0.00559996
0.57,0.0056998,4.44588e-05,0.00569996
0.58,0.00579979,4.55288e-05,0.00579995
0.59,0.00589978,4.66088e-05,0.00589995
0.6,0.00599978,4.76987e-05,0.00599995
0.61,0.00609977,4.87987e-05,0.00609995
0.62,0.00619976,4.99086e-05,0.00619995
0.63,0.00629976,5.10286e-05,0.00629995
0.64,0.00639975,5.21585e-05,0.00639994
0.65,0.00649974,5.32985e-05,0.00649994
0.66,0.00659974,5.44485e-05,0.00659994
0.67,0.00669973,5.56084e-05,0.00669994
0.68,0.00679972,5.67784e-05,0.00679994
0.69,0.00689971,5.79583e-05,0.00689994
0.7,0.00699971,5.91483e-05,0.00699993
0.71,0.0070997,6.03482e-05,0.00709993
0.72,0.00719969,6.15582e-05,0.00719993
0.73,0.00729968,6.27781e-05,0.00729993
0.74,0.00739968,6.4008e-05,0.00739993
0.75,0.00749967,6.5248e-05,0.00749992
0.76,0.00759966,6.64979e-05,0.00759992
0.77,0.00769965,6.77579e-05,0.00769992
0.78,0.00779964,6.90278e-05,0.00779992
0.79,0.00789963,7.03077e-05,0.00789992
0.8,0.00799962,7.15977e-05,0.00799991
0.81,0.00809962,7.28976e-05,0.00809991
0.82,0.00819961,7.42076e-05,0.00819991
0.83,0.0082996,7.55275e-05,0.00829991
0.84,0.00839959,7.68574e-05,0.00839991
0.85,0.00849958,7.81974e-05,0.0084999
0.86,0.00859957,7.95473e-05,0.0085999
0.87,0.00869956,8.09072e-05,0.0086999
0.88,0.00879955,8.22771e-05,0.0087999
0.89,0.00889954,8.36571e-05,0.00889989
0.9,0.00899953,8.5047e-05,0.00899989
0.91,0.00909952,8.64469e-05,0.00909989
0.92,0.00919951,8.78568e-05,0.00919989
0.93,0.0092995,8.92768e-05,0.00929988
0.94,0.00939949,9.07067e-05,0.00939988
