x1,y1,x2,y2vx1,vy1,vx2,vy2
0, 1, 0, -0.5, 0.8, 0, -0.4, 0
0.008, 0.999911, -0.004, -0.499956, 0.8, -0.00888889, -0.4, 0.00444444
0.0159993, 0.999733, -0.00799964, -0.499867, 0.799929, -0.0177785, -0.399964, 0.00888925
0.0239972, 0.999467, -0.0119986, -0.499733, 0.799787, -0.0266687, -0.399893, 0.0133344
0.0319929, 0.999111, -0.0159964, -0.499556, 0.799573, -0.0355594, -0.399787, 0.0177797
0.0399858, 0.998667, -0.0199929, -0.499333, 0.799288, -0.0444504, -0.399644, 0.0222252
0.0479751, 0.998133, -0.0239875, -0.499067, 0.798932, -0.0533417, -0.399466, 0.0266708
0.0559601, 0.997511, -0.0279801, -0.498755, 0.798505, -0.062233, -0.399253, 0.0311165
0.0639402, 0.9968, -0.0319701, -0.4984, 0.798006, -0.0711243, -0.399003, 0.0355622
0.0719146, 0.995999, -0.0359573, -0.498, 0.797436, -0.0800155, -0.398718, 0.0400077
0.0798825, 0.99511, -0.0399413, -0.497555, 0.796794, -0.0889063, -0.398397, 0.0444531
0.0878433, 0.994132, -0.0439217, -0.497066, 0.79608, -0.0977967, -0.39804, 0.0488983
0.0957963, 0.993066, -0.0478981, -0.496533, 0.795295, -0.106686, -0.397647, 0.0533432
0.103741, 0.99191, -0.0518703, -0.495955, 0.794437, -0.115576, -0.397219, 0.0577878
0.111676, 0.990665, -0.0558379, -0.495333, 0.793508, -0.124464, -0.396754, 0.0622319
0.119601, 0.989332, -0.0598004, -0.494666, 0.792506, -0.133351, -0.396253, 0.0666755
0.127515, 0.987909, -0.0637575, -0.493955, 0.791432, -0.142237, -0.395716, 0.0711186
0.135418, 0.986398, -0.067709, -0.493199, 0.790285, -0.151122, -0.395142, 0.075561
0.143309, 0.984798, -0.0716543, -0.492399, 0.789065, -0.160005, -0.394533, 0.0800027
0.151186, 0.983109, -0.0755932, -0.491555, 0.787773, -0.168887, -0.393886, 0.0844436
0.15905, 0.981331, -0.0795252, -0.490666, 0.786407, -0.177767, -0.393204, 0.0888837
0.1669, 0.979465, -0.08345, -0.489732, 0.784968, -0.186646, -0.392484, 0.0933228
0.174735, 0.97751, -0.0873673, -0.488755, 0.783456, -0.195522, -0.391728, 0.0977608
0.182553, 0.975466, -0.0912767, -0.487733, 0.781869, -0.204396, -0.390935, 0.102198
0.190355, 0.973333, -0.0951777, -0.486667, 0.780209, -0.213267, -0.390105, 0.106634
0.19814, 0.971112, -0.0990701, -0.485556, 0.778475, -0.222136, -0.389237, 0.111068
